date,Broad,Major
2023-04-03,119.4536,114.5631
2023-04-10,119.3788,114.1553
2023-04-17,119.0109,113.777
2023-04-24,119.2087,113.9402
2023-05-01,119.4068,114.0967
2023-05-08,118.9822,113.7233
2023-05-15,118.9937,114.1394
2023-05-22,119.7465,115.0515
2023-05-29,120.5668,115.9826
2023-06-05,120.3159,115.845
2023-06-12,119.6944,115.3299
2023-06-19,118.7341,114.1272
2023-06-26,118.9297,114.0266
2023-07-03,119.2665,114.3657
2023-07-10,119.2996,114.2834
2023-07-17,117.5458,112.1037
2023-07-24,117.5443,112.347
2023-07-31,117.8245,112.9997
2023-08-07,118.9998,114.0046
2023-08-14,119.5948,114.5257
2023-08-21,120.3974,115.2275
2023-08-28,120.2901,115.7659
2023-09-04,120.2612,115.5964
2023-09-11,121.7081,116.7359
2023-09-18,121.1957,116.6631
2023-09-25,121.4654,116.8997
2023-10-02,122.672,117.9799
2023-10-09,123.6588,118.5184
2023-10-16,123.1644,117.9572
2023-10-23,123.5259,118.0535
2023-10-30,123.6925,118.4321
2023-11-06,122.783,118.0459
2023-11-13,122.1812,117.7077
2023-11-20,120.9403,116.3595
2023-11-27,120.322,115.7908
2023-12-04,120.013,115.1737
2023-12-11,120.7229,115.9337
2023-12-18,120.2111,114.7971
2023-12-25,119.3465,113.6932
2024-01-01,118.5479,112.764
2024-01-08,119.4448,113.9486
2024-01-15,119.7134,114.2366
2024-01-22,120.7535,115.207
2024-01-29,120.7788,115.2646
2024-02-05,120.724,115.3353
2024-02-12,120.9841,115.8808
2024-02-19,121.3208,116.3686
2024-02-26,121.0512,115.8183
2024-03-04,121.0316,115.8722
2024-03-11,120.311,115.0649
2024-03-18,120.2695,115.1928
2024-03-25,120.9769,116.0779
2024-04-01,121.1362,116.4499
2024-04-08,120.957,116.2313
2024-04-15,121.7198,117.3731
2024-04-22,123.0628,118.2044
2024-04-29,122.7886,117.7664
2024-05-06,122.4939,117.5715
2024-05-13,122.0978,117.2741
2024-05-20,121.3936,116.5407
2024-05-27,121.5726,116.7938
2024-06-03,122.0006,116.6217
2024-06-10,123.0185,116.6714
2024-06-17,124.0593,117.2026
2024-06-24,123.9977,117.4532
2024-07-01,124.2433,117.7371
2024-07-08,123.7256,117.0826
2024-07-15,122.8881,116.442
2024-07-22,122.8799,116.222
2024-07-29,123.6563,116.5482
2024-08-05,123.7678,116.1182
2024-08-12,123.3635,115.3994
2024-08-19,122.4609,114.8238
2024-08-26,121.8286,113.3415
2024-09-02,122.0802,113.113
2024-09-09,122.5927,113.4598
2024-09-16,122.2755,113.4933
2024-09-23,121.4613,112.9839
2024-09-30,121.21,112.6017
2024-10-07,122.0048,113.8907
2024-10-14,122.905,114.9325
2024-10-21,123.9885,115.7654
2024-10-28,124.6069,116.4283
2024-11-04,124.7746,116.4442
2024-11-11,125.1532,116.733
2024-11-18,126.8448,118.6304
2024-11-25,126.97,119.0448
2024-12-02,126.9894,118.6424
2024-12-09,126.6857,118.4285
2024-12-16,127.0678,119.1954
2024-12-23,127.9956,120.3664
2024-12-30,128.4853,120.9394
2025-01-06,129.1822,121.4869
2025-01-13,129.3764,121.911
2025-01-20,129.3781,121.8351
2025-01-27,128.1048,120.5592
2025-02-03,128.4631,121.1032
2025-02-10,128.2705,120.6154
2025-02-17,127.9508,120.1892
2025-02-24,127.2936,119.4603
2025-03-03,127.7317,119.706
2025-03-10,126.572,117.8011
2025-03-17,125.7956,117.0171
2025-03-24,125.9474,117.2417
2025-03-31,126.3557,117.5156
2025-04-07,126.0375,116.4632
2025-04-14,125.252,114.4622
2025-04-21,123.0958,112.3607
2025-04-28,122.7942,112.3596
2025-05-05,122.6169,112.6415
2025-05-12,122.5842,113.1976
2025-05-19,122.7885,113.8871
2025-05-26,121.874,112.6724
2025-06-02,121.6232,112.2774
2025-06-09,121.1088,111.7361
2025-06-16,120.4578,111.0609
2025-06-23,120.8614,111.4256
2025-06-30,119.8822,110.3329
2025-07-07,119.3764,109.8564
2025-07-14,119.909,110.601
2025-07-21,120.3837,111.1443
2025-07-28,119.8835,110.4936
2025-08-04,121.2581,112.1208
2025-08-11,120.5886,111.3318
2025-08-18,120.3896,111.0153
2025-08-25,120.6562,111.3272
2025-09-01,120.4306,111.0581
2025-09-08,120.4354,110.9815
2025-09-15,119.9716,110.6927
2025-09-22,119.5111,110.2522
2025-09-29,120.1765,111.1284
2025-10-06,120.2154,111.1365
2025-10-13,120.8679,112.1276
2025-10-20,120.808,111.9607
2025-10-27,120.8943,112.1388
2025-11-03,121.0575,112.4272
2025-11-10,121.6113,113.1393
2025-11-17,120.9749,112.518
2025-11-24,121.6364,113.3081
2025-12-01,121.229,112.8092
2025-12-08,120.8038,112.2027
2025-12-15,120.2877,111.559
2025-12-22,120.0509,111.2836
2025-12-29,119.5513,110.8503
2026-01-05,119.6162,111.1194
2026-01-12,119.9921,111.7999
2026-01-19,120.0432,112.2241
2026-01-26,118.987,110.9738
2026-02-02,117.7328,109.3499
2026-02-09,118.124,110.1189
2026-02-16,117.5113,109.4436
2026-02-23,117.9493,110.2656
2026-03-02,118.0218,110.4873
2026-03-09,119.4158,111.4104
2026-03-16,119.6971,111.839
2026-03-23,120.0541,112.1193
